1769573781.910533 server started (50665): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1769573781.910548 on Linux 6.18.6-200.fc43.x86_64 #1 SMP PREEMPT_DYNAMIC Sun Jan 18 18:57:00 UTC 2026
1769573781.910558 using libevent 2.1.12-stable poll
1769573781.910563 using ncurses 6.5 20250614
1769573781.910862 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1769573781.910867 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1769573781.910871 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1769573781.910880 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1769573781.910887 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1769573781.910892 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1769573781.910896 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1769573781.910900 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1769573781.910905 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1769573781.910909 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1769573781.910913 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1769573781.910918 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1769573781.910922 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1769573781.910926 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1769573781.910931 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1769573781.910935 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1769573781.910942 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1769573781.910946 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1769573781.910950 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1769573781.910962 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1769573781.910966 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1769573781.910971 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1769573781.910975 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1769573781.910979 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1769573781.910984 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1769573781.910988 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1769573781.910992 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1769573781.910997 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1769573781.911001 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1769573781.911005 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1769573781.911010 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1769573781.911014 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1769573781.911019 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1769573781.911023 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1769573781.911028 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1769573781.911032 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1769573781.911036 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1769573781.911041 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1769573781.911045 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1769573781.911049 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1769573781.911054 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1769573781.911058 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1769573781.911063 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1769573781.911067 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1769573781.911072 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1769573781.911076 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1769573781.911080 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1769573781.911085 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1769573781.911089 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1769573781.911094 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1769573781.911099 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1769573781.911103 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1769573781.911107 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1769573781.911112 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1769573781.911116 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1769573781.911121 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1769573781.911125 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1769573781.911129 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1769573781.911134 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1769573781.911138 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1769573781.911146 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1769573781.911153 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1769573781.911157 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1769573781.911162 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1769573781.911166 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1769573781.911170 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1769573781.911175 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1769573781.911179 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1769573781.911184 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1769573781.911188 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1769573781.911193 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1769573781.911197 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1769573781.911201 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1769573781.911206 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1769573781.911210 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1769573781.911215 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1769573781.911219 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1769573781.911224 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1769573781.911228 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1769573781.911235 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1769573781.911239 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1769573781.911243 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1769573781.911248 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1769573781.911252 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1769573781.911256 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1769573781.911261 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1769573781.911265 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1769573781.911269 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1769573781.911274 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1769573781.911278 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1769573781.911283 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1769573781.911287 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1769573781.911291 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1769573781.911296 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1769573781.911300 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1769573781.911305 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1769573781.911309 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1769573781.911313 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1769573781.911318 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1769573781.911322 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1769573781.911327 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1769573781.911331 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1769573781.911336 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1769573781.911340 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1769573781.911345 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1769573781.911349 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1769573781.911354 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1769573781.911358 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1769573781.911362 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1769573781.911367 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1769573781.911371 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1769573781.911376 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1769573781.911380 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1769573781.911385 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1769573781.911393 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1769573781.911399 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1769573781.911403 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1769573781.911407 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1769573781.911412 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1769573781.911416 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1769573781.911420 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1769573781.911425 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1769573781.911429 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1769573781.911434 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1769573781.911438 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1769573781.911443 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1769573781.911447 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1769573781.911452 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1769573781.911456 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1769573781.911460 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1769573781.911465 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1769573781.911471 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1769573781.911476 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1769573781.911480 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1769573781.911485 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1769573781.911489 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1769573781.911494 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1769573781.911498 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1769573781.911503 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1769573781.911507 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1769573781.911512 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1769573781.911516 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1769573781.911521 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1769573781.911525 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1769573781.911530 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1769573781.911534 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1769573781.911538 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1769573781.911543 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1769573781.911547 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1769573781.911551 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1769573781.911556 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1769573781.911561 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1769573781.911565 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1769573781.911569 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1769573781.911574 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1769573781.911578 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1769573781.911583 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1769573781.911596 yylex_token: end at WS
1769573781.911600 yylex_token: bind
1769573781.911605 yylex_token: end at WS
1769573781.911610 yylex_token: -N
1769573781.911614 yylex_token: end at WS
1769573781.911619 yylex_token: Send the prefix key
1769573781.911623 yylex_token: end at WS
1769573781.911627 yylex_token: C-b
1769573781.911631 yylex_token: end at WS
1769573781.911636 yylex_token: send-prefix
1769573781.911644 cmd_parse_build_commands 0:0: bind
1769573781.911649 cmd_parse_build_commands 0:1: -N
1769573781.911653 cmd_parse_build_commands 0:2: Send the prefix key
1769573781.911658 cmd_parse_build_commands 0:3: C-b
1769573781.911664 cmd_parse_build_commands 0:4 0:0: send-prefix
1769573781.911673 cmd_parse_build_commands 0:0: send-prefix
1769573781.911685 args_parse: flags end at 1 of 1
1769573781.911691 cmd_parse_build_commands: send-prefix
1769573781.911696 args_parse_flags: next -N
1769573781.911700 args_parse_flag_argument: -N = Send the prefix key
1769573781.911704 args_parse_flags: next C-b
1769573781.911709 args_parse: flags end at 3 of 5
1769573781.911713 args_parse: 3 = C-b (type STRING)
1769573781.911718 args_parse: 4 = send-prefix (type COMMANDS)
1769573781.911729 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1769573781.911734 cmdq_get_command: [bind-key/0x564fc42473e0] group 2
1769573781.911739 cmdq_append <global>: [bind-key/0x564fc42473e0]
1769573781.911744 yylex_token: end at WS
1769573781.911748 yylex_token: bind
1769573781.911753 yylex_token: end at WS
1769573781.911757 yylex_token: -N
1769573781.911762 yylex_token: end at WS
1769573781.911766 yylex_token: Rotate through the panes
1769573781.911770 yylex_token: end at WS
1769573781.911774 yylex_token: C-o
1769573781.911778 yylex_token: end at WS
1769573781.911783 yylex_token: rotate-window
1769573781.911788 cmd_parse_build_commands 0:0: bind
1769573781.911792 cmd_parse_build_commands 0:1: -N
1769573781.911796 cmd_parse_build_commands 0:2: Rotate through the panes
1769573781.911801 cmd_parse_build_commands 0:3: C-o
1769573781.911805 cmd_parse_build_commands 0:4 0:0: rotate-window
1769573781.911810 cmd_parse_build_commands 0:0: rotate-window
1769573781.911816 args_parse: flags end at 1 of 1
1769573781.911820 cmd_parse_build_commands: rotate-window
1769573781.911825 args_parse_flags: next -N
1769573781.911829 args_parse_flag_argument: -N = Rotate through the panes
1769573781.911833 args_parse_flags: next C-o
1769573781.911837 args_parse: flags end at 3 of 5
1769573781.911842 args_parse: 3 = C-o (type STRING)
1769573781.911846 args_parse: 4 = rotate-window (type COMMANDS)
1769573781.911853 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1769573781.911858 cmdq_get_command: [bind-key/0x564fc4247970] group 10
1769573781.911862 cmdq_append <global>: [bind-key/0x564fc4247970]
1769573781.911867 yylex_token: end at WS
1769573781.911871 yylex_token: bind
1769573781.911875 yylex_token: end at WS
1769573781.911879 yylex_token: -N
1769573781.911884 yylex_token: end at WS
1769573781.911888 yylex_token: Suspend the current client
1769573781.911892 yylex_token: end at WS
1769573781.911896 yylex_token: C-z
1769573781.911901 yylex_token: end at WS
1769573781.911905 yylex_token: suspend-client
1769573781.911909 cmd_parse_build_commands 0:0: bind
1769573781.911913 cmd_parse_build_commands 0:1: -N
1769573781.911918 cmd_parse_build_commands 0:2: Suspend the current client
1769573781.911922 cmd_parse_build_commands 0:3: C-z
1769573781.911926 cmd_parse_build_commands 0:4 0:0: suspend-client
1769573781.911931 cmd_parse_build_commands 0:0: suspend-client
1769573781.911937 args_parse: flags end at 1 of 1
1769573781.911942 cmd_parse_build_commands: suspend-client
1769573781.911946 args_parse_flags: next -N
1769573781.911950 args_parse_flag_argument: -N = Suspend the current client
1769573781.911959 args_parse_flags: next C-z
1769573781.911963 args_parse: flags end at 3 of 5
1769573781.911968 args_parse: 3 = C-z (type STRING)
1769573781.911972 args_parse: 4 = suspend-client (type COMMANDS)
1769573781.911978 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1769573781.911983 cmdq_get_command: [bind-key/0x564fc4247ee0] group 18
1769573781.911987 cmdq_append <global>: [bind-key/0x564fc4247ee0]
1769573781.911992 yylex_token: end at WS
1769573781.911996 yylex_token: bind
1769573781.912000 yylex_token: end at WS
1769573781.912004 yylex_token: -N
1769573781.912009 yylex_token: end at WS
1769573781.912013 yylex_token: Select next layout
1769573781.912017 yylex_token: end at WS
1769573781.912021 yylex_token: Space
1769573781.912025 yylex_token: end at WS
1769573781.912029 yylex_token: next-layout
1769573781.912034 cmd_parse_build_commands 0:0: bind
1769573781.912038 cmd_parse_build_commands 0:1: -N
1769573781.912046 cmd_parse_build_commands 0:2: Select next layout
1769573781.912052 cmd_parse_build_commands 0:3: Space
1769573781.912057 cmd_parse_build_commands 0:4 0:0: next-layout
1769573781.912063 cmd_parse_build_commands 0:0: next-layout
1769573781.912069 args_parse: flags end at 1 of 1
1769573781.912073 cmd_parse_build_commands: next-layout
1769573781.912077 args_parse_flags: next -N
1769573781.912081 args_parse_flag_argument: -N = Select next layout
1769573781.912085 args_parse_flags: next Space
1769573781.912090 args_parse: flags end at 3 of 5
1769573781.912094 args_parse: 3 = Space (type STRING)
1769573781.912098 args_parse: 4 = next-layout (type COMMANDS)
1769573781.912105 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1769573781.912109 cmdq_get_command: [bind-key/0x564fc4248620] group 26
1769573781.912114 cmdq_append <global>: [bind-key/0x564fc4248620]
1769573781.912119 yylex_token: end at WS
1769573781.912123 yylex_token: bind
1769573781.912127 yylex_token: end at WS
1769573781.912131 yylex_token: -N
1769573781.912135 yylex_token: end at WS
1769573781.912139 yylex_token: Break pane to a new window
1769573781.912144 yylex_token: end at WS
1769573781.912148 yylex_token: !
1769573781.912152 yylex_token: end at WS
1769573781.912156 yylex_token: break-pane
1769573781.912160 cmd_parse_build_commands 0:0: bind
1769573781.912165 cmd_parse_build_commands 0:1: -N
1769573781.912169 cmd_parse_build_commands 0:2: Break pane to a new window
1769573781.912173 cmd_parse_build_commands 0:3: !
1769573781.912178 cmd_parse_build_commands 0:4 0:0: break-pane
1769573781.912182 cmd_parse_build_commands 0:0: break-pane
1769573781.912187 args_parse: flags end at 1 of 1
1769573781.912191 cmd_parse_build_commands: break-pane
1769573781.912195 args_parse_flags: next -N
1769573781.912200 args_parse_flag_argument: -N = Break pane to a new window
1769573781.912204 args_parse_flags: next !
1769573781.912208 args_parse: flags end at 3 of 5
1769573781.912212 args_parse: 3 = ! (type STRING)
1769573781.912217 args_parse: 4 = break-pane (type COMMANDS)
1769573781.912223 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1769573781.912227 cmdq_get_command: [bind-key/0x564fc4244620] group 34
1769573781.912231 cmdq_append <global>: [bind-key/0x564fc4244620]
1769573781.912236 yylex_token: end at WS
1769573781.912240 yylex_token: bind
1769573781.912244 yylex_token: end at WS
1769573781.912248 yylex_token: -N
1769573781.912253 yylex_token: end at WS
1769573781.912257 yylex_token: Split window vertically
1769573781.912261 yylex_token: end at WS
1769573781.912265 yylex_token: "
1769573781.912270 yylex_token: end at WS
1769573781.912274 yylex_token: split-window
1769573781.912278 cmd_parse_build_commands 0:0: bind
1769573781.912282 cmd_parse_build_commands 0:1: -N
1769573781.912287 cmd_parse_build_commands 0:2: Split window vertically
1769573781.912291 cmd_parse_build_commands 0:3: "
1769573781.912295 cmd_parse_build_commands 0:4 0:0: split-window
1769573781.912300 cmd_parse_build_commands 0:0: split-window
1769573781.912306 args_parse: flags end at 1 of 1
1769573781.912310 cmd_parse_build_commands: split-window
1769573781.912314 args_parse_flags: next -N
1769573781.912319 args_parse_flag_argument: -N = Split window vertically
1769573781.912323 args_parse_flags: next "
1769573781.912327 args_parse: flags end at 3 of 5
1769573781.912331 args_parse: 3 = " (type STRING)
1769573781.912336 args_parse: 4 = split-window (type COMMANDS)
1769573781.912342 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1769573781.912346 cmdq_get_command: [bind-key/0x564fc4244c30] group 42
1769573781.912350 cmdq_append <global>: [bind-key/0x564fc4244c30]
1769573781.912355 yylex_token: end at WS
1769573781.912359 yylex_token: bind
1769573781.912363 yylex_token: end at WS
1769573781.912367 yylex_token: -N
1769573781.912372 yylex_token: end at WS
1769573781.912376 yylex_token: List all paste buffers
1769573781.912380 yylex_token: end at WS
1769573781.912384 yylex_token: #
1769573781.912392 yylex_token: end at WS
1769573781.912398 yylex_token: list-buffers
1769573781.912402 cmd_parse_build_commands 0:0: bind
1769573781.912407 cmd_parse_build_commands 0:1: -N
1769573781.912411 cmd_parse_build_commands 0:2: List all paste buffers
1769573781.912415 cmd_parse_build_commands 0:3: #
1769573781.912419 cmd_parse_build_commands 0:4 0:0: list-buffers
1769573781.912424 cmd_parse_build_commands 0:0: list-buffers
1769573781.912429 args_parse: flags end at 1 of 1
1769573781.912434 cmd_parse_build_commands: list-buffers
1769573781.912438 args_parse_flags: next -N
1769573781.912442 args_parse_flag_argument: -N = List all paste buffers
1769573781.912446 args_parse_flags: next #
1769573781.912451 args_parse: flags end at 3 of 5
1769573781.912455 args_parse: 3 = # (type STRING)
1769573781.912459 args_parse: 4 = list-buffers (type COMMANDS)
1769573781.912465 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1769573781.912470 cmdq_get_command: [bind-key/0x564fc4245130] group 50
1769573781.912474 cmdq_append <global>: [bind-key/0x564fc4245130]
1769573781.912479 yylex_token: end at WS
1769573781.912483 yylex_token: bind
1769573781.912487 yylex_token: end at WS
1769573781.912491 yylex_token: -N
1769573781.912495 yylex_token: end at WS
1769573781.912499 yylex_token: Rename current session
1769573781.912504 yylex_token: end at WS
1769573781.912508 yylex_token: $
1769573781.912512 yylex_token: end at WS
1769573781.912516 yylex_token: command-prompt
1769573781.912520 yylex_token: end at WS
1769573781.912524 yylex_token: -I#S
1769573781.912529 yylex_token: end at WS
1769573781.912533 yylex_token: rename-session
1769573781.912537 yylex_token: end at WS
1769573781.912541 yylex_token: --
1769573781.912545 yylex_token: end at WS
